card,n_files,candidate_block,block_aulas,block_dates,block_topic,confidence,true_block_id,evidence,file_ids
(sem card),1,,,,,baixa,,sem source_section -> predicao do funil,archive-of-formal-proofs-355fb8
(sem card),1,bloco-16,"30,31,32,33,34",5 dias · 15/06/2026 a 29/06/2026,verificacao modelos logica temporal ferramenta,baixa,bloco-16,sem source_section -> predicao do funil,verificacaomodelos
(sem card),1,bloco-16,"30,31,32,33,34",5 dias · 15/06/2026 a 29/06/2026,verificacao modelos logica temporal ferramenta,baixa,bloco-16,sem source_section -> predicao do funil,exercicioslogicatemporal
(sem card),1,bloco-16,"30,31,32,33,34",5 dias · 15/06/2026 a 29/06/2026,verificacao modelos logica temporal ferramenta,baixa,bloco-16,sem source_section -> predicao do funil,exerciciosnusmv
(sem card),1,bloco-16,"30,31,32,33,34",5 dias · 15/06/2026 a 29/06/2026,verificacao modelos logica temporal ferramenta,baixa,bloco-16,sem source_section -> predicao do funil,classes-parte1
(sem card),1,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,bloco-13,sem source_section -> predicao do funil,colecoes-arrays
(sem card),1,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,bloco-13,sem source_section -> predicao do funil,colecoes-conjuntos
(sem card),1,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,bloco-13,sem source_section -> predicao do funil,colecoes-sequences
(sem card),1,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,bloco-13,sem source_section -> predicao do funil,exercicios-conjuntos
(sem card),1,bloco-10,"16,17,18",3 dias · 27/04/2026 a 04/05/2026,logica hoare,baixa,bloco-10,sem source_section -> predicao do funil,hoare
(sem card),1,bloco-12,20,1 dia · 11/05/2026,terminacao introducao dafny,baixa,bloco-12,sem source_section -> predicao do funil,introducao-zip
(sem card),1,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,bloco-11,sem source_section -> predicao do funil,invariantes
(sem card),1,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,bloco-11,sem source_section -> predicao do funil,terminacao
(sem card),1,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,baixa,bloco-04,sem source_section -> predicao do funil,tiposindutivos
(sem card),1,bloco-12,20,1 dia · 11/05/2026,terminacao introducao dafny,baixa,bloco-12,sem source_section -> predicao do funil,exemplos-zip
Especificações Indutivas e Recursivas,9,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,bloco-04,card_block_map (source=manual),exerciciosformalizacaoalgoritmosrecursao3;formalizacaoalgoritmos-recursao2;exerciciosconjuntosindutivos;conjuntosindutivos;exerciciosformalizacaoalgoritmosrecursao2;exerciciosformalizacaoalgoritmosrecursao-respostas;formalizacaoalgoritmos-recursao;formalizacaoalgoritmos-recursao3;exerciciosformalizacaoalgoritmosrecursao
Exercícios de Revisão para Provas,2,bloco-07,13,1 dia · 15/04/2026,Conteúdo: unidade-01-metodos-formais,alta,bloco-07,card_block_map (source=manual),revisao-p1;revisao-p1-gabarito
Provas por Indução,11,bloco-06,"10,11,12",3 dias · 06/04/2026 a 13/04/2026,interativa teoremas isabelle,baixa,bloco-06,"sem card-map; predicoes={'bloco-05': 5, 'bloco-06': 6}",provasindutivas-especificacoesrecursivas;provasindutivas-especificacoesrecursivas-arvores;provasindutivas-especificacoesrecursivas-listas;exercicioscorrecaoinducaomatematica;exerciciosisabelle2;exerciciosisabelle;arvores;exemplos;intro;listas;provas
Revisão - Lógica e Especificação,7,bloco-03,2,1 dia · 09/03/2026,logica predicados,baixa,bloco-03,"sem card-map; predicoes={'bloco-03': 6, 'bloco-02': 1}",logicapredicados-semantica;logicapredicados-sintaxe;logicaproposicional-sintaxe;revisao;exerciciosespecificacao-respostas;exerciciosespecificacao;logicaproposicional-semantica
TDE Trabalho Discente Efetivo,2,bloco-05,"8,9",2 dias · 30/03/2026 a 01/04/2026,inducao arvores,media,bloco-05,sem card-map; predicao unanime,t1-2026-1;t1-2026-1-thy
Verificação de Programas,12,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,bloco-11,"sem card-map; predicoes={'bloco-11': 6, 'bloco-10': 2, 'bloco-15': 2, 'bloco-13': 2}",introducao;correcaoterminacao;exercicioscorrecaoterminacao;exerciciosformalizacaoalgoritmosinvariantes;formalizacaoalgoritmos-invarianteslaco;logicadehoare;logicadehoare2;exerciciosdafny1;exerciciosdafny2;exerciciosdafny3;exerciciosdafny4;exerciciosdafny5
