block_uuid,block_id,date_start,date_end,kind,topic_text,unit_slug_atual,true_unit,notes
43b6f936-7dc9-49fa-8f19-a88b66dc9b98,bloco-01,2026-03-02,2026-03-02,overview,plano ensino programatico cronograma forma datas avaliacao bibliografia historico,,,
55691241-63a8-4053-aea8-8a835c90f4f7,bloco-02,2026-03-04,2026-03-04,class,visao geral,unidade-de-aprendizagem-01-visao-geral-5,,
fbf15f4c-54b1-489d-bb02-f9bd33dc1bd3,bloco-03,2026-03-09,2026-03-09,class,introducao,unidade-de-aprendizagem-01-visao-geral-5,,
af22fe17-ee73-407f-9af5-d730739d71e0,bloco-04,2026-03-11,2026-03-16,class,tipos dados preparacao,unidade-de-aprendizagem-01-visao-geral-5,,
2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,bloco-05,2026-03-18,2026-04-15,class,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,unidade-de-aprendizagem-01-visao-geral-5,,
17ea65f3-5f84-47c7-9357-e090ee1f80ed,bloco-06,2026-04-20,2026-04-27,class,suspensao abordagem supervisionada means hierarquico analise resultados,,,
696e2177-a69e-4dbb-9b79-73e03f3e8c85,bloco-07,2026-04-29,2026-04-29,office_hours,duvidas para,,,
7eb6a214-73e1-48c7-a4a7-8bf66cf66385,bloco-10,2026-05-11,2026-05-11,class,gerais,unidade-de-aprendizagem-01-visao-geral-5,,
0b986383-663a-4a54-b000-4b97ebce59c4,bloco-12,2026-05-18,2026-05-20,class,correcao introducao agentes,unidade-de-aprendizagem-02-solucao-de-problemas-10,,
ab4631aa-d8e3-4c85-833c-369de28d773a,bloco-13,2026-05-25,2026-05-25,class,algoritmos busca,unidade-de-aprendizagem-02-solucao-de-problemas-10,,
d75c82cf-f46d-4b1e-8a65-9b890166dc7d,bloco-14,2026-05-27,2026-05-27,academic_event,evento academico,,,
1de905a2-724e-4841-8d7b-a62bf7a42212,bloco-15,2026-06-01,2026-06-08,class,algoritmos busca,unidade-de-aprendizagem-02-solucao-de-problemas-10,,
4062d883-01e9-47d1-be03-61ea23b0adff,bloco-16,2026-06-10,2026-06-15,planning,planejamento,,,
bfaa3df7-b5b1-4d7b-8f7e-1e38f29ed016,bloco-17,2026-06-17,2026-06-17,office_hours,duvidas,,,
5f917e10-322b-40f4-807d-cef684be70fd,bloco-20,2026-06-29,2026-06-29,class,gerias,unidade-de-aprendizagem-03-raciocinio-planejamento-e-representacao-de-conhecimento,,
ec23115c-f511-45dc-bbee-c13f4df83a6e,bloco-23,2026-07-08,2026-07-08,results,atendimento divulgacao resultados,,,
d0e31a6f-832e-44f1-b550-dc711edb9196,bloco-25,2026-07-15,2026-07-15,class,,unidade-de-aprendizagem-03-raciocinio-planejamento-e-representacao-de-conhecimento,,
